# a	b	verdict (R=same question incl. same reused passage set; V=same problem, numbers/names changed; F=false match, only template shared)	zone
# 261 further candidate pairs (cos<0.7, jac<0.15, <12 content words) rejected as a group after a read sample was all false
2022#91	2023#73	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2017#93	2021#86	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#14	2017#92	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2009#65	2012#86	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#13	2017#92	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#15	2021#86	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2008#96	2016#43	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2018#85	2022#87	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2018#51	2020#3	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2017#28	2018#4	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2023#43	2024#55	V	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#15	2017#94	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#12	2017#94	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#10	2017#90	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2017#92	2021#87	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2018#47	2020#116	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#12	2017#93	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2011#46	2021#100	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#15	2017#92	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#14	2017#93	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#2	2023#115	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#13	2017#94	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#48	2023#111	R	A:auto(jac>=0.45, 14/14 sampled genuine)
2015#49	2016#120	R	B:read
2010#17	2017#95	F	B:read
2020#114	2022#11	R	B:read
2018#110	2022#74	F	B:read
2014#90	2015#49	R	B:read
2014#119	2019#101	F	B:read
2016#120	2022#7	V	B:read
2013#71	2022#71	R	B:read
2018#110	2022#75	F	B:read
2011#55	2013#54	R	B:read
2015#35	2016#37	R	B:read
2014#107	2019#23	R	B:read
2010#59	2016#81	V	B:read
2015#14	2021#84	R	B:read
2015#13	2021#105	R	B:read
2016#81	2020#112	R	B:read
2011#55	2013#56	R	B:read
2015#30	2019#100	R	B:read
2011#111	2012#91	R	B:read
2014#73	2023#107	V	B:read
2009#46	2021#107	V	B:read
2015#37	2022#70	R	B:read
2013#34	2018#58	V	B:read
2019#33	2021#66	R	B:read
2020#23	2021#94	R	B:read
2014#111	2016#23	R	B:read
2015#13	2017#93	R	B:read
2009#8	2017#35	R	B:read
2011#47	2016#59	V	B:read
2012#89	2018#9	R	B:read
2015#51	2019#38	R	B:read
2015#14	2021#87	R	B:read
2008#112	2024#91	R	B:read
2010#17	2026#84	F	B:read
2015#13	2021#87	R	B:read
2008#73	2020#44	R	B:read
2009#15	2018#67	R	B:read
2013#20	2023#114	V	B:read
2015#89	2025#52	F	B:read
2017#89	2019#2	V	B:read
2009#38	2017#39	R	B:read
2017#94	2021#87	R	B:read
2016#59	2019#90	V	B:read
2017#93	2021#87	R	B:read
2015#12	2021#105	R	B:read
2017#92	2021#105	R	B:read
2017#94	2021#86	R	B:read
2016#43	2025#2	R	B:read
2015#15	2021#87	R	B:read
2010#12	2026#84	F	B:read
2010#13	2026#84	F	B:read
2017#89	2019#3	V	B:read
2013#23	2018#69	V	B:read
2016#94	2023#76	R	B:read
2015#14	2021#105	R	B:read
2017#92	2021#86	R	B:read
2022#57	2024#8	F	B:read
2014#64	2025#57	V	B:read
2017#94	2021#105	R	B:read
2017#93	2021#105	R	B:read
2017#93	2021#84	R	B:read
2010#60	2016#22	R	B:read
2013#17	2022#32	V	B:read
2018#10	2024#8	F	B:read
2015#14	2021#86	R	B:read
2015#15	2021#105	R	B:read
2008#57	2014#7	R	B:read
2015#15	2021#84	R	B:read
2018#93	2019#92	F	B:read
2022#58	2024#8	F	B:read
2019#9	2026#58	F	B:read
2023#42	2024#11	F	B:read
2018#94	2019#92	F	B:read
2018#10	2022#58	F	B:read
2009#53	2011#70	F	B:read
2023#99	2024#117	F	B:read
2022#53	2024#3	F	B:read
2009#2	2019#49	R	B:read
2010#17	2015#24	F	C:read
2014#90	2022#7	V	C:read
2014#42	2020#51	F	C:read
2012#11	2013#47	R	C:read
2015#24	2016#54	F	C:read
2009#46	2015#42	F	C:read
2014#90	2016#120	V	C:read
2008#48	2023#116	V	C:read
2015#24	2017#95	F	C:read
2010#59	2020#112	V	C:read
2016#54	2017#95	F	C:read
2010#17	2016#54	F	C:read
2010#42	2013#10	F	C:read
2010#54	2012#8	V	C:read
2014#105	2020#117	F	C:read
2008#50	2017#67	F	C:read
2009#40	2020#78	F	C:read
2015#84	2024#12	R	C:read
2019#26	2020#78	F	C:read
2020#78	2022#29	F	C:read
2015#47	2026#48	F	C:read
2008#46	2020#117	R	C:read
2008#45	2011#25	F	C:read
2015#61	2021#36	V	C:read
2008#30	2022#46	F	C:read
2009#40	2022#29	F	C:read
2019#19	2021#33	F	C:read
2008#31	2021#52	R	C:read
2009#40	2019#26	F	C:read
2008#45	2014#77	F	C:read
2019#26	2022#29	F	C:read
2011#25	2014#77	F	C:read
2011#40	2017#67	F	C:read
2016#95	2019#27	F	C:read
2009#50	2025#36	F	C:read
2008#52	2021#109	R	C:read
2008#50	2011#40	F	C:read
2008#46	2014#105	F	C:read
2009#1	2021#50	F	C:read
2011#37	2012#3	F	C:read
2011#37	2015#54	F	C:read
2012#3	2015#54	F	C:read
2013#50	2021#50	F	C:read
2016#95	2025#36	F	C:read
2008#30	2018#28	F	C:read
2009#20	2011#25	F	C:read
2018#28	2022#46	F	C:read
2019#27	2025#36	F	C:read
2020#3	2022#32	F	C:read
2008#45	2009#20	F	C:read
2009#50	2019#27	F	C:read
2009#50	2016#95	F	C:read
2020#38	2022#74	F	C:read
2010#17	2020#42	F	C:read
2016#76	2017#58	F	C:read
2008#55	2021#109	R	C:read
2012#8	2015#65	F	C:read
2009#1	2013#50	F	C:read
2009#20	2014#77	F	C:read
2010#54	2015#65	F	C:read
2014#77	2021#50	F	C:read
2018#110	2020#38	F	C:read
2020#38	2022#75	F	C:read
2015#24	2020#42	F	C:read
2008#55	2021#95	R	C:read
2008#45	2018#47	F	C:read
2010#12	2020#42	F	C:read
2010#13	2020#42	F	C:read
2008#53	2021#109	R	C:read
2014#77	2018#47	F	C:read
2019#4	2022#74	F	C:read
2018#110	2019#4	F	C:read
2015#42	2021#107	F	C:read
2019#4	2022#75	F	C:read
2008#45	2021#50	F	C:read
2018#112	2021#93	F	C:read
2011#25	2021#50	F	C:read
2015#65	2023#3	F	C:read
2013#47	2021#38	F	C:read
2010#55	2011#27	F	C:read
2012#11	2021#38	F	C:read
2019#103	2025#110	F	C:read
2016#118	2025#77	F	C:read
2012#8	2023#3	F	C:read
2008#28	2021#68	F	C:read
2010#54	2023#3	F	C:read
2008#45	2009#1	F	C:read
2019#27	2021#32	F	C:read
2011#25	2018#47	F	C:read
2017#95	2020#42	F	C:read
2015#72	2018#1	R	C:read
2015#89	2025#47	F	C:read
2016#54	2020#42	F	C:read
2009#1	2014#77	F	C:read
2011#25	2015#88	F	C:read
2011#21	2024#48	F	C:read
2013#47	2024#48	F	C:read
2009#1	2011#25	F	C:read
2014#70	2021#78	F	C:read
2012#11	2024#48	F	C:read
2017#76	2025#64	F	C:read
2008#46	2024#48	F	C:read
2009#20	2018#47	F	C:read
2009#20	2021#50	F	C:read
2012#20	2015#89	F	C:read
2017#2	2025#110	F	C:read
2021#76	2024#48	F	C:read
2016#72	2021#78	F	C:read
2018#47	2021#50	F	C:read
2011#21	2021#76	F	C:read
2016#95	2021#32	F	C:read
2016#77	2020#3	F	C:read
2016#77	2022#32	F	C:read
2011#9	2016#95	F	C:read
2011#9	2019#27	F	C:read
2010#53	2019#27	F	C:read
2010#53	2025#36	F	C:read
2009#50	2010#53	F	C:read
2010#53	2016#95	F	C:read
2009#20	2015#88	F	C:read
2016#95	2021#78	F	C:read
2019#27	2021#78	F	C:read
2021#78	2025#36	F	C:read
2009#50	2021#78	F	C:read
2009#50	2022#46	F	C:read
2009#50	2021#32	F	C:read
2021#32	2025#36	F	C:read
2011#9	2025#36	F	C:read
2008#46	2021#76	F	C:read
2009#50	2011#9	F	C:read
2018#112	2022#17	F	C:read
2008#30	2009#50	F	C:read
2011#20	2012#13	F	C:read
2012#6	2014#105	F	C:read
